162.243.148.12 - - [17/Jan/2023:03:19:24 -0500] "GET / HTTP/1.1" 200 11286
50.116.57.34 - - [17/Jan/2023:09:57:15 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:16 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:16 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:17 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:17 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:18 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:18 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:19 -0500] "GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 1113
50.116.57.34 - - [17/Jan/2023:09:57:19 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:20 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:20 -0500] "OPTIONS sip:nm null" 400 2155
50.116.57.34 - - [17/Jan/2023:09:57:21 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:21 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:22 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:22 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:23 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:23 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:23 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:24 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:09:57:24 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:12 -0500] "GET / HTTP/1.0" 200 11266
50.116.57.34 - - [17/Jan/2023:10:57:13 -0500] "OPTIONS / HTTP/1.0" 200 -
50.116.57.34 - - [17/Jan/2023:10:57:13 -0500] "OPTIONS / null" 505 2131
50.116.57.34 - - [17/Jan/2023:10:57:14 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:14 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:15 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:15 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:16 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:16 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:17 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:17 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:18 -0500] "GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 1113
50.116.57.34 - - [17/Jan/2023:10:57:18 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:19 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:19 -0500] "OPTIONS sip:nm null" 400 2155
50.116.57.34 - - [17/Jan/2023:10:57:20 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:20 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:21 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:21 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:22 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:22 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:23 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:23 -0500] "-" 400 2244
50.116.57.34 - - [17/Jan/2023:10:57:24 -0500] "-" 400 2244
223.111.175.4 - - [17/Jan/2023:18:25:37 -0500] "GET / HTTP/1.1" 200 11286
223.111.175.4 - - [17/Jan/2023:18:25:38 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
223.111.175.4 - - [17/Jan/2023:18:25:39 -0500] "GET /tomcat.png HTTP/1.1" 200 5103
223.111.175.4 - - [17/Jan/2023:18:25:39 -0500] "GET /sitemap.xml HTTP/1.1" 404 1085
223.111.175.4 - - [17/Jan/2023:18:25:39 -0500] "GET /robots.txt HTTP/1.1" 404 1084
223.111.175.4 - - [17/Jan/2023:18:25:41 -0500] "GET /axis2-admin/ HTTP/1.1" 404 1090
223.111.175.4 - - [17/Jan/2023:18:25:41 -0500] "GET /axis2/ HTTP/1.1" 404 1084
223.111.175.4 - - [17/Jan/2023:18:25:42 -0500] "GET /axis2/axis2-admin/ HTTP/1.1" 404 1100
223.111.175.4 - - [17/Jan/2023:18:25:42 -0500] "GET null HTTP/1.1" 400 2308
223.111.175.4 - - [17/Jan/2023:18:25:43 -0500] "GET /struts/webconsole.html HTTP/1.1" 404 1100
223.111.175.4 - - [17/Jan/2023:18:25:43 -0500] "GET /?actionErrors=1111 HTTP/1.1" 200 11286
223.111.175.4 - - [17/Jan/2023:18:25:44 -0500] "GET /invoker/readonly HTTP/1.1" 404 1094
89.248.163.246 - - [17/Jan/2023:19:04:20 -0500] "-" 400 2244
